"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.822769875E0,-4.691394196E0,-2.147868484E1,-1.248403931E-1,2.198541942E1
2.832810875E0,-6.569239197E0,-2.649640045E1,7.590715027E-1,2.730916202E1
2.842852875E0,-6.814728699E0,-2.635180115E1,7.484436035E-3,2.721870693E1
2.852893875E0,-5.204227753E0,-2.219374786E1,-1.085542603E0,2.282158701E1
2.862934875E0,-2.797831879E0,-1.803389832E1,-1.534309387E0,1.831402351E1
2.872975875E0,-8.424481201E-1,-1.544248718E1,-1.810335388E0,1.557104503E1
2.883016875E0,5.318440247E-1,-1.366014359E1,-2.120490417E0,1.383397486E1
2.893057875E0,1.336271210E0,-1.216430420E1,-2.312990112E0,1.245414954E1
2.903098875E0,1.519789581E0,-1.058733353E1,-2.173031158E0,1.091436924E1
2.913139875E0,1.304088135E0,-8.880133667E0,-1.832040253E0,9.160447112E0
2.923180875E0,9.821076965E-1,-7.250322876E0,-1.286873932E0,7.428846603E0
2.933221875E0,6.589297485E-1,-5.502407684E0,-7.665559387E-1,5.594487174E0
2.943262875E0,4.426295471E-1,-3.847898254E0,-3.312611389E-1,3.887412486E0
2.953303875E0,2.252815247E-1,-2.402503967E0,1.615141296E-1,2.418442452E0
2.963344875E0,-6.316864014E-2,-1.245410156E0,5.560935974E-1,1.365385229E0
2.973385875E0,-3.317102051E-1,-1.481918335E-1,8.378077698E-1,9.131891035E-1
2.983426875E0,-5.162763977E-1,8.936416626E-1,1.161584473E0,1.553838868E0
2.993467875E0,-5.054988098E-1,1.553319855E0,1.476679230E0,2.202024788E0
3.003508875E0,-6.256988525E-1,1.871857452E0,1.976340179E0,2.793075345E0
3.013549875E0,-9.101074219E-1,2.193388824E0,2.737207947E0,3.623749081E0
3.023590875E0,-1.095122681E0,2.583178253E0,3.297792206E0,4.329842608E0
3.033631875E0,-1.179247742E0,2.658920746E0,3.616030426E0,4.640706930E0
3.043672875E0,-1.156495056E0,2.750380554E0,3.729943542E0,4.776458190E0
3.053713875E0,-1.061143341E0,2.885100403E0,3.272195435E0,4.489665075E0
3.063755875E0,-8.710386658E-1,3.739972687E0,1.925745392E0,4.295881675E0
3.073796875E0,-5.908213806E-1,4.992867279E0,2.519261169E-1,5.034010363E0
3.083837875E0,-4.113446045E-1,5.566324768E0,-5.474116516E-1,5.608282743E0
3.093878875E0,-4.192781067E-1,5.183421021E0,-3.838018799E-1,5.214494366E0
3.103919875E0,-4.421804810E-1,4.174069977E0,1.493893433E-1,4.200083443E0
3.113960875E0,-2.308200073E-1,2.846929779E0,2.017803955E-1,2.863390014E0
